"Santa Fe y su región metropolitana","Ciudad Autónoma de Buenos Aires y su región metropolitana","España","Significado"
"Costeleta","Bife de costilla","Chuleta","Corte de carne con hueso de las costillas del animal."
"Entrecorte","Bife de chorizo","Entrecot","Corte vacuno."
"Gastos centrales","Expensas","Gastos de comunidad","Gastos comunes de un edificio."
"Pororó","Pochoclo","Palomitas de maíz","Maíz inflado."
"Carlito","Tostado con salsa de tomate (kétchup)","Bocadillo (Sándwich)","Sándwich tostado (generalmente de jamón cocido y queso dambo)."
"Remo","Submarino","Colacao","Bebida a base de leche y chocolate amargo."
"Porrón","Cerveza","litro de cerveza","Bebida alcohólica, no destilada, a base de granos de cebada."
"Sacar mano","Sacar el cuero","Poner verde (a alguien)","Desmerecer las acciones o conducta de alguien."
"Tocada","Mancha","Pilla-pilla","Juego infantil."
"Liso","Chopp","Chopp","Medida de cerveza."
"Ratearse","Hacerse la rata","Hacer pellas (o novillos)","No presentarse a clases (un alumno)."
"Choro","Chorro","Caco","Forma coloquial para designar a un ladrón."
"Masita","Galletita","Galleta","Pequeño trozo de pasta dulce."
"Masa","Factura","Bollo (un tipo de)","Un pedazo de masa dulce."
"Praliné","Garrapiñada","Garrapiñada","Cacahuete o maní cubierto de azúcar"
"Colectivo (abreviado coloquialmente cole)","Colectivo, Bondi","Microbús","Colectivo de corta distancia"
"Colectivo, Ómnibus","Ómnibus, Micro","Bus","Colectivo de larga distancia."
"Vago","Chabón","Tío","Sujeto masculino, muchacho"
"Puñete","Piña, Trompada","Puñetazo","Golpear de puño a alguien"
